This is the beginning of the performance data save operation
Data Management



Time,Measuring Object,SEIZURE TRAFFIC(ERL),
"04/09/2024 00:00:00","SIP-MSK-Zone(18)","3.17",
"04/09/2024 00:00:00","SIP_MSK_Zone-2(20)","0.00",
"04/09/2024 00:00:00","SIP_MSK_ZONE_3(21)","0.00",
"04/09/2024 00:00:00","To MSK-INT M(101)","0.00",
"04/09/2024 00:00:00","To SPB-INT M(102)","0.00",
"04/09/2024 00:00:00","To CLK-INT M(103)","0.00",
"04/09/2024 00:00:00","To IRK-INT M(104)","0.00",
"04/09/2024 00:00:00","To RND-NAT M(113)","4.03",
"04/09/2024 00:00:00","To SMA-NAT M(114)","0.00",
"04/09/2024 00:00:00","To CLK-NAT M(115)","0.10",
"04/09/2024 00:00:00","To NSK-NAT M(116)","0.03",
"04/09/2024 00:00:00","To KBK-NAT M(117)","0.22",
"04/09/2024 00:00:00","Glonass(413)","0.00",
"04/09/2024 00:00:00","MTS-Kyrsk_Zona(414)","0.00",
"04/09/2024 00:00:00","SmolTelecom(416)","0.00",
"04/09/2024 00:00:00","MTS-Belgorod(417)","0.00",
"04/09/2024 00:00:00","ER-Telecom Bryns(418)","0.00",
"04/09/2024 00:00:00","ER-T-Lipeck-Zona(420)","0.00",
"04/09/2024 00:00:00","Internod-Msk(423)","0.15",
"04/09/2024 00:00:00","Mastertel-Zona(427)","0.01",
"04/09/2024 00:00:00","Orang-MSK(433)","0.00",
"04/09/2024 00:00:00","Orange-Msk-Zona(438)","0.55",
"04/09/2024 00:00:00","CentrTel_Tula(1201)","0.00",
"04/09/2024 00:00:00","Vimpelcom_Kursk_Z(1202)","0.00",
"04/09/2024 00:00:00","CentrTel_Kursk(1203)","0.03",
"04/09/2024 00:00:00","CentrTel_Kaluga(1204)","0.00",
"04/09/2024 00:00:00","CentrTel_Belgord(1205)","0.00",
"04/09/2024 00:00:00","CentrTel_Tambov(1206)","0.00",
"04/09/2024 00:00:00","CentrTel_Tver(1207)","0.00",
"04/09/2024 00:00:00","MTS_Bryansk(1208)","0.00",
"04/09/2024 00:00:00","Rostelecom_Vladimir(1209)","0.00",
"04/09/2024 00:00:00","CentrTel_Ivanovo(1210)","0.00",
