This is the beginning of the performance data save operation
Data Management



Time,Measuring Object,SEIZURE TRAFFIC(ERL),
"04/09/2024 00:00:00","To MSK-INT M(101)","0.00",
"04/09/2024 00:00:00","To SPB-INT M(102)","0.00",
"04/09/2024 00:00:00","To CLK-INT M(103)","0.00",
"04/09/2024 00:00:00","To IRK-INT M(104)","0.00",
"04/09/2024 00:00:00","To MSK-NAT M(111)","4.03",
"04/09/2024 00:00:00","To SPB-NAT M(112)","0.61",
"04/09/2024 00:00:00","To CLK-NAT M(115)","0.32",
"04/09/2024 00:00:00","To NSK-NAT M(116)","2.71",
"04/09/2024 00:00:00","To KBK-NAT M(117)","2.20",
"04/09/2024 00:00:00","KavkazTTK_Rostov(416)","0.00",
"04/09/2024 00:00:00","Kavkaz_Krasnodar(417)","0.00",
"04/09/2024 00:00:00","VolgaTTK_volgogr(419)","0.00",
"04/09/2024 00:00:00","VolgaTTK_Astrakh(420)","0.00",
"04/09/2024 00:00:00","ER-T-RND-Zona(422)","0.00",
"04/09/2024 00:00:00","Orange-RDN-MG(433)","0.00",
"04/09/2024 00:00:00","Komstar_09KD051533(1201)","0.00",
"04/09/2024 00:00:00","ES_Mahachkala(1202)","0.00",
"04/09/2024 00:00:00","UTK_Astrahan(1203)","0.08",
"04/09/2024 00:00:00","UTK_Maikop(1205)","0.00",
"04/09/2024 00:00:00","UTK_Elista(1206)","0.00",
"04/09/2024 00:00:00","UTK_MinVodi(1207)","0.00",
"04/09/2024 00:00:00","UTK_RostovnaDonu(1208)","0.00",
"04/09/2024 00:00:00","UTK_Stavropol(1209)","0.00",
"04/09/2024 00:00:00","ES_Groznij(1210)","0.00",
"04/09/2024 00:00:00","KubTel_Krasnodar(1211)","0.00",
"04/09/2024 00:00:00","UTK_Volgograd(1212)","0.01",
"04/09/2024 00:00:00","DagSvInf_Mahach(1213)","0.00",
"04/09/2024 00:00:00","UTK_Sochi(1214)","0.00",
"04/09/2024 00:00:00","UTK_Nalchik(1215)","0.00",
"04/09/2024 00:00:00","UTK_Vladikavkaz(1216)","0.00",
"04/09/2024 00:00:00","UTKS_Vladikavkaz(1217)","0.00",
