This is the beginning of the performance data save operation
Data Management



Time,Measuring Object,SEIZURE TRAFFIC(ERL),
"04/09/2024 00:00:00","SIP-MSK-INT-SS(1)","0.00",
"04/09/2024 00:00:00","SIP-SPB-INT-SS(2)","0.00",
"04/09/2024 00:00:00","SIP-CLK-INT-SS(3)","0.00",
"04/09/2024 00:00:00","SIP-IRK-INT-SS(4)","0.00",
"04/09/2024 00:00:00","SIP-MSK-NAT-SS(11)","0.12",
"04/09/2024 00:00:00","SIP-SPB-NAT-SS(12)","0.00",
"04/09/2024 00:00:00","SIP-CLK-NAT-SS(15)","0.00",
"04/09/2024 00:00:00","SIP-NSK-NAT-SS(16)","0.00",
"04/09/2024 00:00:00","SIP-KBK-NAT-SS(17)","0.00",
"04/09/2024 00:00:00","UzhYral_Orenburg(415)","0.00",
"04/09/2024 00:00:00","VolgaTTK(418)","0.00",
"04/09/2024 00:00:00","TTK-NN(421)","0.18",
"04/09/2024 00:00:00","VolgaTTK_Sarat_2(426)","0.00",
"04/09/2024 00:00:00","ER-Telecom-Sar(427)","0.00",
"04/09/2024 00:00:00","ER-Telecom NN(428)","0.00",
"04/09/2024 00:00:00","ER-Tel-Penza(429)","0.00",
"04/09/2024 00:00:00","ER-Tel-Orenburg(430)","0.00",
"04/09/2024 00:00:00","ER-Telec-Samara(431)","0.00",
"04/09/2024 00:00:00","Orang_NN_Zona(432)","0.00",
"04/09/2024 00:00:00","Orange_Sma_Zona(434)","0.00",
"04/09/2024 00:00:00","To MSK-INT S(501)","0.00",
"04/09/2024 00:00:00","To SPB-INT S(502)","0.00",
"04/09/2024 00:00:00","To CLK-INT S(503)","0.00",
"04/09/2024 00:00:00","To IRK-INT S(504)","0.00",
"04/09/2024 00:00:00","To MSK-NAT S(511)","0.00",
"04/09/2024 00:00:00","To SPB-NAT S(512)","0.00",
"04/09/2024 00:00:00","To CLK-NAT S(515)","0.01",
"04/09/2024 00:00:00","To NSK-NAT S(516)","0.00",
"04/09/2024 00:00:00","To KBK-NAT S(517)","0.00",
"04/09/2024 00:00:00","To TatTelecom(5200)","0.00",
"04/09/2024 00:00:00","BashInformSvyaz(5201)","0.00",
"04/09/2024 00:00:00","VolgaTel_Samara(5202)","0.05",
"04/09/2024 00:00:00","VolgaTel_Kirov(5203)","0.05",
"04/09/2024 00:00:00","RTK-Igevsk_Zona(5204)","0.00",
"04/09/2024 00:00:00","VolgaTel_Cheboks(5205)","0.00",
"04/09/2024 00:00:00","VolgaTel_Orenbur(5206)","0.00",
"04/09/2024 00:00:00","VolgaTel_NigNovg(5207)","0.00",
"04/09/2024 00:00:00","VolgaTel_IoshOla(5208)","0.00",
"04/09/2024 00:00:00","VolgaTel_Saransk(5209)","0.00",
"04/09/2024 00:00:00","VolgaTel_Ulyanov(5210)","0.00",
"04/09/2024 00:00:00","VolgaTel_Penza(5211)","0.00",
"04/09/2024 00:00:00","VolgaTel_Saratov(5212)","0.04",
"04/09/2024 00:00:00","VolgaTel_Tolyatt(5213)","0.00",
"04/09/2024 00:00:00","UralSvInf_Perm(5214)","0.00",
"04/09/2024 00:00:00","InterTel_Samara(5216)","0.00",
"04/09/2024 00:00:00","Ural-Orenburg(5219)","0.00",
"04/09/2024 00:00:00","UFANET(5220)","0.00",
"04/09/2024 00:00:00","ADS(5222)","0.00",
"04/09/2024 00:00:00","VimpelCom Perm(5226)","0.00",
"04/09/2024 00:00:00","Konvers_Saratov_Z(5228)","0.00",
"04/09/2024 00:00:00","Vimpelkom_Sma_Zona(5229)","0.00",
"04/09/2024 00:00:00","Tele2-Cheboks_IN(5230)","0.02",
"04/09/2024 00:00:00","Vimpelkom_Kanash(5232)","0.00",
"04/09/2024 00:00:00","Vimpelkom_Ulyanovsk(5234)","0.00",
"04/09/2024 00:00:00","Vimpelkom_Kirov(5235)","0.00",
"04/09/2024 00:00:00","MTS-Penza_Zona(5236)","0.00",
"04/09/2024 00:00:00","TELE2_Igevsk_in(5237)","0.07",
"04/09/2024 00:00:00","Sovintel_Ufa(5247)","0.00",
"04/09/2024 00:00:00","Atel_Perm(5249)","0.00",
"04/09/2024 00:00:00","Vympelcom_Ijevsk(5250)","0.00",
"04/09/2024 00:00:00","Vimpelcom_Ufa(5252)","0.00",
"04/09/2024 00:00:00","VimpelCom_Penza(5253)","0.00",
"04/09/2024 00:00:00","Vimpelcom_Penza-spSLC1(5254)","0.00",
"04/09/2024 00:00:00","TELE2_N.Novgorod(5256)","0.17",
"04/09/2024 00:00:00","VimpelCom_Saransk(5261)","0.00",
"04/09/2024 00:00:00","T2-Mobile_Eshkarala-SP(5263)","0.05",
"04/09/2024 00:00:00","MTC_Kazan(5264)","0.00",
