This is the beginning of the performance data save operation
Data Management



Time,Measuring Object,SEIZURE TRAFFIC(ERL),
"04/09/2024 00:00:00","SIP-MSK-INT-SS(1)","0.07",
"04/09/2024 00:00:00","SIP-SPB-INT-SS(2)","0.00",
"04/09/2024 00:00:00","SIP-CLK-INT-SS(3)","0.00",
"04/09/2024 00:00:00","SIP-IRK-INT-SS(4)","0.00",
"04/09/2024 00:00:00","SIP-MSK-NAT-SS(11)","0.59",
"04/09/2024 00:00:00","SIP-SPB-NAT-SS(12)","0.00",
"04/09/2024 00:00:00","SIP-CLK-NAT-SS(15)","0.00",
"04/09/2024 00:00:00","SIP-NSK-NAT-SS(16)","0.00",
"04/09/2024 00:00:00","SIP-KBK-NAT-SS(17)","0.00",
"04/09/2024 00:00:00","UzhYral_Orenburg(415)","0.00",
"04/09/2024 00:00:00","VolgaTTK(418)","0.00",
"04/09/2024 00:00:00","TTK-NN(421)","0.00",
"04/09/2024 00:00:00","VolgaTTK_Sarat_2(426)","0.00",
"04/09/2024 00:00:00","ER-Telecom-Sar(427)","0.00",
"04/09/2024 00:00:00","ER-Telecom NN(428)","0.00",
"04/09/2024 00:00:00","ER-Tel-Penza(429)","0.00",
"04/09/2024 00:00:00","ER-Tel-Orenburg(430)","0.00",
"04/09/2024 00:00:00","ER-Telec-Samara(431)","0.00",
"04/09/2024 00:00:00","Orang_NN_Zona(432)","0.00",
"04/09/2024 00:00:00","Orange_Sma_Zona(434)","0.00",
"04/09/2024 00:00:00","To MSK-INT S(501)","0.00",
"04/09/2024 00:00:00","To SPB-INT S(502)","0.00",
"04/09/2024 00:00:00","To CLK-INT S(503)","0.00",
"04/09/2024 00:00:00","To IRK-INT S(504)","0.00",
"04/09/2024 00:00:00","To MSK-NAT S(511)","2.26",
"04/09/2024 00:00:00","To SPB-NAT S(512)","0.00",
"04/09/2024 00:00:00","To CLK-NAT S(515)","0.22",
"04/09/2024 00:00:00","To NSK-NAT S(516)","0.05",
"04/09/2024 00:00:00","To KBK-NAT S(517)","0.95",
"04/09/2024 00:00:00","To TatTelecom(5200)","0.00",
"04/09/2024 00:00:00","BashInformSvyaz(5201)","0.00",
"04/09/2024 00:00:00","VolgaTel_Samara(5202)","0.00",
"04/09/2024 00:00:00","VolgaTel_Kirov(5203)","0.00",
"04/09/2024 00:00:00","RTK-Igevsk_Zona(5204)","0.00",
"04/09/2024 00:00:00","VolgaTel_Cheboks(5205)","0.00",
"04/09/2024 00:00:00","VolgaTel_Orenbur(5206)","0.00",
"04/09/2024 00:00:00","VolgaTel_NigNovg(5207)","0.00",
"04/09/2024 00:00:00","VolgaTel_IoshOla(5208)","0.00",
"04/09/2024 00:00:00","VolgaTel_Saransk(5209)","0.00",
"04/09/2024 00:00:00","VolgaTel_Ulyanov(5210)","0.02",
"04/09/2024 00:00:00","VolgaTel_Penza(5211)","0.01",
"04/09/2024 00:00:00","VolgaTel_Saratov(5212)","0.00",
"04/09/2024 00:00:00","VolgaTel_Tolyatt(5213)","0.03",
"04/09/2024 00:00:00","UralSvInf_Perm(5214)","0.00",
"04/09/2024 00:00:00","InterTel_Samara(5216)","0.00",
"04/09/2024 00:00:00","Ural-Orenburg(5219)","0.00",
"04/09/2024 00:00:00","UFANET(5220)","0.00",
"04/09/2024 00:00:00","ADS(5222)","0.00",
"04/09/2024 00:00:00","Tele2-Cheboks_OUT(5225)","0.00",
"04/09/2024 00:00:00","VimpelCom Perm(5226)","0.00",
"04/09/2024 00:00:00","Konvers_Saratov_Z(5228)","0.00",
"04/09/2024 00:00:00","Vimpelkom_Sma_Zona(5229)","0.00",
"04/09/2024 00:00:00","Vimpelkom_Kanash(5232)","0.00",
"04/09/2024 00:00:00","Vimpelkom_Ulyanovsk(5234)","0.00",
"04/09/2024 00:00:00","Vimpelkom_Kirov(5235)","0.00",
"04/09/2024 00:00:00","MTS-Penza_Zona(5236)","0.00",
"04/09/2024 00:00:00","Tele2_Igevsk_out(5242)","0.05",
"04/09/2024 00:00:00","Sovintel_Ufa(5247)","0.00",
"04/09/2024 00:00:00","Atel_Perm(5249)","0.00",
"04/09/2024 00:00:00","Vympelcom_Ijevsk(5250)","0.00",
"04/09/2024 00:00:00","Vimpelcom_Ufa(5252)","0.00",
"04/09/2024 00:00:00","VimpelCom_Penza(5253)","0.00",
"04/09/2024 00:00:00","Vimpelcom_Penza-spSLC1(5254)","0.00",
"04/09/2024 00:00:00","TELE2_N.Novgorod(5259)","0.02",
"04/09/2024 00:00:00","VimpelCom_Saransk(5261)","0.00",
"04/09/2024 00:00:00","T2-Mobile_Eshkarala-SP(5263)","0.00",
"04/09/2024 00:00:00","MTC_Kazan(5264)","0.00",
"04/09/2024 00:00:00","VimpelCom_Ioshkar-Ola(5266)","0.00",
"04/09/2024 00:00:00","Megafon_Samara(5267)","0.00",
"04/09/2024 00:00:00","MTC_Saratov(5270)","0.00",
"04/09/2024 00:00:00","MTC_Samara(5271)","0.00",
"04/09/2024 00:00:00","MTC_Eshkarala_SP(5274)","0.00",
"04/09/2024 00:00:00","Tele2_PermINOOT(5275)","0.00",
"04/09/2024 00:00:00","MTS-Ylyanovsk_Zona(5278)","0.00",
"04/09/2024 00:00:00","MTC_Cheboks(5279)","0.00",
"04/09/2024 00:00:00","MTC-Nigni Novgorov(5280)","0.00",
"04/09/2024 00:00:00","RTC_Orenburg(5281)","0.00",
"04/09/2024 00:00:00","MTS-Yfa-SP(5285)","0.00",
"04/09/2024 00:00:00","Vimp_Kanash_Zona(5286)","0.00",
"04/09/2024 00:00:00","Megaf_Sarat_Zona(5287)","0.00",
"04/09/2024 00:00:00","Vimpel_Penza_Zon(5288)","0.00",
"04/09/2024 00:00:00","Vimpel_Oren_Zona(5289)","0.00",
"04/09/2024 00:00:00","Vimpelkom_Kazan(5290)","0.00",
"04/09/2024 00:00:00","InfoLada(5292)","0.00",
"04/09/2024 00:00:00","Sinterra_Perm(5295)","0.00",
"04/09/2024 00:00:00","Ural-TTK Perm(5296)","0.00",
"04/09/2024 00:00:00","Ural_GSM_Perm(5297)","0.00",
"04/09/2024 00:00:00","Vimpelkom_Saratov-SP(5298)","0.00",
"04/09/2024 00:00:00","Vimpel_ULK_Zona(5299)","0.00",
"04/09/2024 00:00:00","MTC_Izevsk_slc0(5301)","0.00",
"04/09/2024 00:00:00","Vimpel_SRT_Zona(5302)","0.00",
"04/09/2024 00:00:00","MTS-Ijevsk_Zona(5303)","0.00",
"04/09/2024 00:00:00","Tele2-Orenbyrg_OUT(5307)","0.00",
"04/09/2024 00:00:00","MTC_Orenburg(5309)","0.00",
"04/09/2024 00:00:00","MTC_Kirov(5310)","0.00",
"04/09/2024 00:00:00","Megafon_Ufa(5311)","0.00",
"04/09/2024 00:00:00","Svzatminf_Ulnvsk(5312)","0.00",
"04/09/2024 00:00:00","Megafon_Kazan(5313)","0.00",
"04/09/2024 00:00:00","MTS_Perm-SP(5315)","0.00",
"04/09/2024 00:00:00","MTC_Ufa_Zona(5318)","0.01",
"04/09/2024 00:00:00","MTC_Ylianvsk(5319)","0.00",
"04/09/2024 00:00:00","Tele-2_Kirov_OUT(5321)","0.00",
"04/09/2024 00:00:00","CTSTC_Saratov(5322)","0.00",
"04/09/2024 00:00:00","Teleset_Kazan(5323)","0.00",
"04/09/2024 00:00:00","TRK_TVT_Kazan(5324)","0.00",
"04/09/2024 00:00:00","Rostelecom_SMA_I(5325)","0.09",
"04/09/2024 00:00:00","Megaf_SMA_MG_OUT(5326)","0.01",
"04/09/2024 00:00:00","Sovintel_Izhevsk(5327)","0.01",
"04/09/2024 00:00:00","Megafon_Orenburg_Zon(5328)","0.00",
"04/09/2024 00:00:00","Megafon_Ulyanovsk_Z(5329)","0.00",
"04/09/2024 00:00:00","Megafon_Cheboksary_Z(5330)","0.00",
"04/09/2024 00:00:00","Megafon_Penza(5331)","0.00",
"04/09/2024 00:00:00","Megafon_Saratov_out2(5332)","0.00",
"04/09/2024 00:00:00","Vimpelkom_Toliaty_SP(5333)","0.00",
"04/09/2024 00:00:00","Megafon_Samara_Mob1(5334)","0.01",
"04/09/2024 00:00:00","Megafon_Saransk_Zona(5335)","0.00",
"04/09/2024 00:00:00","MTC_Saransk(5336)","0.00",
"04/09/2024 00:00:00","MTT_Samara_MG-SP(5337)","0.00",
"04/09/2024 00:00:00","Megafon_Kirov(5338)","0.00",
"04/09/2024 00:00:00","VimpelKom_Ruzaev_Zon(5339)","0.00",
"04/09/2024 00:00:00","Megafon_Igevsk_Zone(5340)","0.00",
"04/09/2024 00:00:00","Telecmm 21_Kazan(5342)","0.00",
"04/09/2024 00:00:00","Megafon_IoshkarOla_Zona(5345)","0.00",
"04/09/2024 00:00:00","MTS-Samara_Zona(5346)","0.00",
"04/09/2024 00:00:00","MTS-Perm_Zona(5347)","0.00",
"04/09/2024 00:00:00","MTS-NNovgorod_Zona(5348)","0.00",
"04/09/2024 00:00:00","MTS-Kirov_Zona(5349)","0.00",
"04/09/2024 00:00:00","Tele2-Kazan_new_OUT(5352)","0.04",
