This is the beginning of the performance data save operation
Data Management



Time,Measuring Object,SEIZURE TRAFFIC(ERL),
"04/09/2024 00:00:00","SIP-CLK-INT-SS(3)","0.00",
"04/09/2024 00:00:00","SIP-IRK-INT-SS(4)","0.00",
"04/09/2024 00:00:00","SIP-MSK-NAT-SS(11)","2.60",
"04/09/2024 00:00:00","SIP-SPB-NAT-SS(12)","0.00",
"04/09/2024 00:00:00","SIP-RND-NAT-SS(13)","0.00",
"04/09/2024 00:00:00","SIP-SMA-NAT-SS(14)","0.00",
"04/09/2024 00:00:00","SIP-CLK-NAT-SS(15)","1.06",
"04/09/2024 00:00:00","SIP-NSK-NAT-SS(16)","0.00",
"04/09/2024 00:00:00","SIP-KBK-NAT-SS(17)","7.25",
"04/09/2024 00:00:00","Lanck_Telecom_ip(469)","0.00",
"04/09/2024 00:00:00","IPXP(472)","0.00",
"04/09/2024 00:00:00","Bezeq(477)","0.01",
"04/09/2024 00:00:00","Oblcom_Swiss(486)","0.00",
"04/09/2024 00:00:00","To MSK-INT(501)","0.00",
"04/09/2024 00:00:00","To CLK-INT M(503)","0.00",
"04/09/2024 00:00:00","To IRK-INT M(504)","0.00",
"04/09/2024 00:00:00","To MSK-NAT M(511)","0.00",
"04/09/2024 00:00:00","To SPB-NAT M(512)","0.00",
"04/09/2024 00:00:00","To RND-NAT M(513)","0.00",
"04/09/2024 00:00:00","To SMA-NAT M(514)","0.00",
"04/09/2024 00:00:00","To CLK-NAT M(515)","0.00",
"04/09/2024 00:00:00","To NSK-NAT M(516)","0.00",
"04/09/2024 00:00:00","To KBK-NAT M(517)","0.00",
"04/09/2024 00:00:00","TEO_Litva(524)","0.03",
"04/09/2024 00:00:00","LanckTelecom(527)","0.00",
"04/09/2024 00:00:00","TEO_Latv_Kaunas(541)","0.00",
"04/09/2024 00:00:00","Telecom_Austria_Wien_SP(548)","0.00",
"04/09/2024 00:00:00","Telecom_Austria_Linz_SP(549)","0.00",
"04/09/2024 00:00:00","Beltelekom_Minsk2(559)","0.00",
"04/09/2024 00:00:00","UkrTelekoms_SP(562)","0.00",
"04/09/2024 00:00:00","Megafon_SPB_MG2(563)","0.00",
"04/09/2024 00:00:00","Megafon_SPB_MG(564)","0.38",
"04/09/2024 00:00:00","Alliance_UK(574)","0.00",
"04/09/2024 00:00:00","Megafon_SPB_MG_res(575)","0.00",
"04/09/2024 01:00:00","SIP-CLK-INT-SS(3)","0.00",
"04/09/2024 01:00:00","SIP-IRK-INT-SS(4)","0.00",
"04/09/2024 01:00:00","SIP-MSK-NAT-SS(11)","3.39",
"04/09/2024 01:00:00","SIP-SPB-NAT-SS(12)","0.00",
"04/09/2024 01:00:00","SIP-RND-NAT-SS(13)","0.00",
"04/09/2024 01:00:00","SIP-SMA-NAT-SS(14)","0.00",
"04/09/2024 01:00:00","SIP-CLK-NAT-SS(15)","5.38",
"04/09/2024 01:00:00","SIP-NSK-NAT-SS(16)","0.00",
"04/09/2024 01:00:00","SIP-KBK-NAT-SS(17)","2.74",
"04/09/2024 01:00:00","Lanck_Telecom_ip(469)","0.00",
"04/09/2024 01:00:00","IPXP(472)","0.00",
"04/09/2024 01:00:00","Bezeq(477)","0.02",
"04/09/2024 01:00:00","Oblcom_Swiss(486)","0.00",
"04/09/2024 01:00:00","To MSK-INT(501)","0.00",
"04/09/2024 01:00:00","To CLK-INT M(503)","0.00",
"04/09/2024 01:00:00","To IRK-INT M(504)","0.00",
"04/09/2024 01:00:00","To MSK-NAT M(511)","0.00",
"04/09/2024 01:00:00","To SPB-NAT M(512)","0.00",
"04/09/2024 01:00:00","To RND-NAT M(513)","0.00",
"04/09/2024 01:00:00","To SMA-NAT M(514)","0.00",
"04/09/2024 01:00:00","To CLK-NAT M(515)","0.00",
"04/09/2024 01:00:00","To NSK-NAT M(516)","0.00",
"04/09/2024 01:00:00","To KBK-NAT M(517)","0.00",
"04/09/2024 01:00:00","TEO_Litva(524)","0.00",
"04/09/2024 01:00:00","LanckTelecom(527)","0.00",
"04/09/2024 01:00:00","TEO_Latv_Kaunas(541)","0.00",
"04/09/2024 01:00:00","Telecom_Austria_Wien_SP(548)","0.00",
"04/09/2024 01:00:00","Telecom_Austria_Linz_SP(549)","0.00",
"04/09/2024 01:00:00","Beltelekom_Minsk2(559)","0.00",
"04/09/2024 01:00:00","UkrTelekoms_SP(562)","0.00",
"04/09/2024 01:00:00","Megafon_SPB_MG2(563)","0.00",
"04/09/2024 01:00:00","Megafon_SPB_MG(564)","0.51",
"04/09/2024 01:00:00","Alliance_UK(574)","0.00",
"04/09/2024 01:00:00","Megafon_SPB_MG_res(575)","0.00",
"04/09/2024 02:00:00","SIP-CLK-INT-SS(3)","0.00",
"04/09/2024 02:00:00","SIP-IRK-INT-SS(4)","0.00",
"04/09/2024 02:00:00","SIP-MSK-NAT-SS(11)","1.90",
"04/09/2024 02:00:00","SIP-SPB-NAT-SS(12)","0.00",
"04/09/2024 02:00:00","SIP-RND-NAT-SS(13)","0.00",
"04/09/2024 02:00:00","SIP-SMA-NAT-SS(14)","0.00",
"04/09/2024 02:00:00","SIP-CLK-NAT-SS(15)","9.40",
"04/09/2024 02:00:00","SIP-NSK-NAT-SS(16)","0.00",
"04/09/2024 02:00:00","SIP-KBK-NAT-SS(17)","2.49",
"04/09/2024 02:00:00","Lanck_Telecom_ip(469)","0.00",
"04/09/2024 02:00:00","IPXP(472)","0.00",
"04/09/2024 02:00:00","Bezeq(477)","0.02",
"04/09/2024 02:00:00","Oblcom_Swiss(486)","0.00",
"04/09/2024 02:00:00","To MSK-INT(501)","0.00",
"04/09/2024 02:00:00","To CLK-INT M(503)","0.00",
"04/09/2024 02:00:00","To IRK-INT M(504)","0.00",
"04/09/2024 02:00:00","To MSK-NAT M(511)","0.00",
"04/09/2024 02:00:00","To SPB-NAT M(512)","0.00",
"04/09/2024 02:00:00","To RND-NAT M(513)","0.00",
"04/09/2024 02:00:00","To SMA-NAT M(514)","0.00",
"04/09/2024 02:00:00","To CLK-NAT M(515)","0.00",
"04/09/2024 02:00:00","To NSK-NAT M(516)","0.00",
"04/09/2024 02:00:00","To KBK-NAT M(517)","0.00",
"04/09/2024 02:00:00","TEO_Litva(524)","0.00",
"04/09/2024 02:00:00","LanckTelecom(527)","0.00",
"04/09/2024 02:00:00","TEO_Latv_Kaunas(541)","0.00",
"04/09/2024 02:00:00","Telecom_Austria_Wien_SP(548)","0.00",
"04/09/2024 02:00:00","Telecom_Austria_Linz_SP(549)","0.00",
"04/09/2024 02:00:00","Beltelekom_Minsk2(559)","0.00",
"04/09/2024 02:00:00","UkrTelekoms_SP(562)","0.00",
"04/09/2024 02:00:00","Megafon_SPB_MG2(563)","0.00",
"04/09/2024 02:00:00","Megafon_SPB_MG(564)","0.62",
"04/09/2024 02:00:00","Alliance_UK(574)","0.00",
"04/09/2024 02:00:00","Megafon_SPB_MG_res(575)","0.00",
"04/09/2024 03:00:00","SIP-CLK-INT-SS(3)","0.00",
"04/09/2024 03:00:00","SIP-IRK-INT-SS(4)","0.00",
"04/09/2024 03:00:00","SIP-MSK-NAT-SS(11)","5.75",
"04/09/2024 03:00:00","SIP-SPB-NAT-SS(12)","0.00",
"04/09/2024 03:00:00","SIP-RND-NAT-SS(13)","0.00",
"04/09/2024 03:00:00","SIP-SMA-NAT-SS(14)","0.03",
"04/09/2024 03:00:00","SIP-CLK-NAT-SS(15)","7.51",
"04/09/2024 03:00:00","SIP-NSK-NAT-SS(16)","0.00",
"04/09/2024 03:00:00","SIP-KBK-NAT-SS(17)","2.76",
"04/09/2024 03:00:00","Lanck_Telecom_ip(469)","0.00",
"04/09/2024 03:00:00","IPXP(472)","0.00",
"04/09/2024 03:00:00","Bezeq(477)","0.00",
"04/09/2024 03:00:00","Oblcom_Swiss(486)","0.00",
"04/09/2024 03:00:00","To MSK-INT(501)","0.00",
