This is the beginning of the performance data save operation
Data Management



Time,Measuring Object,SEIZURE TRAFFIC(ERL),
"04/09/2024 00:00:00","SIP-MSK-INT-SS(1)","2.59",
"04/09/2024 00:00:00","SIP-SPB-INT-SS(2)","0.00",
"04/09/2024 00:00:00","SIP-CLK-INT-SS(3)","0.00",
"04/09/2024 00:00:00","SIP-IRK-INT-SS(4)","0.00",
"04/09/2024 00:00:00","SIP-RND-NAT-SS(13)","0.00",
"04/09/2024 00:00:00","SIP-SMA-NAT-SS(14)","0.58",
"04/09/2024 00:00:00","SIP-CLK-NAT-SS(15)","0.81",
"04/09/2024 00:00:00","SIP-NSK-NAT-SS(16)","0.00",
"04/09/2024 00:00:00","SIP-KBK-NAT-SS(17)","0.06",
"04/09/2024 00:00:00","Orange_Zona_SPB(425)","0.00",
"04/09/2024 00:00:00","MTS-SPB-Zona(432)","0.00",
"04/09/2024 00:00:00","To MSK-INT S(501)","0.00",
"04/09/2024 00:00:00","To SPB-INT S(502)","0.00",
"04/09/2024 00:00:00","To CLK-INT S(503)","0.00",
"04/09/2024 00:00:00","To IRK-INT S(504)","0.00",
"04/09/2024 00:00:00","To RND-NAT S(513)","0.00",
"04/09/2024 00:00:00","To SMA-NAT S(514)","0.00",
"04/09/2024 00:00:00","To CLK-NAT S(515)","0.00",
"04/09/2024 00:00:00","To NSK-NAT S(516)","0.00",
"04/09/2024 00:00:00","To KBK-NAT S(517)","0.00",
"04/09/2024 00:00:00","To SvyazInform(5201)","0.00",
"04/09/2024 00:00:00","SevZapTel-Kalini(5204)","0.03",
"04/09/2024 00:00:00","NKES_Narian_mar(5205)","0.00",
"04/09/2024 00:00:00","SZT_Murmansk_SPB(5207)","0.00",
"04/09/2024 00:00:00","SZT_Tosto+PTT(5210)","0.00",
"04/09/2024 00:00:00","WestCall-Spb-2(5213)","0.00",
"04/09/2024 00:00:00","SevZapTel_Arhang(5214)","0.00",
"04/09/2024 00:00:00","WestCall-Spb(5218)","0.00",
"04/09/2024 00:00:00","Teleport-Spb(5221)","0.41",
"04/09/2024 00:00:00","Megafon-Spb(5223)","0.00",
