This is the beginning of the performance data save operation
Data Management



Time,Measuring Object,SEIZURE TRAFFIC(ERL),
"04/09/2024 00:00:00","SIP-MSK-INT-SS(1)","0.02",
"04/09/2024 00:00:00","SIP-SPB-INT-SS(2)","0.00",
"04/09/2024 00:00:00","SIP-CLK-INT-SS(3)","0.00",
"04/09/2024 00:00:00","SIP-IRK-INT-SS(4)","0.00",
"04/09/2024 00:00:00","SIP-RND-NAT-SS(13)","0.00",
"04/09/2024 00:00:00","SIP-SMA-NAT-SS(14)","0.13",
"04/09/2024 00:00:00","SIP-CLK-NAT-SS(15)","0.06",
"04/09/2024 00:00:00","SIP-NSK-NAT-SS(16)","0.00",
"04/09/2024 00:00:00","SIP-KBK-NAT-SS(17)","0.02",
"04/09/2024 00:00:00","Orange_Zona_SPB(425)","0.00",
"04/09/2024 00:00:00","MTS-SPB-Zona(432)","0.00",
"04/09/2024 00:00:00","To MSK-INT S(501)","0.03",
"04/09/2024 00:00:00","To SPB-INT S(502)","0.00",
"04/09/2024 00:00:00","To CLK-INT S(503)","0.00",
"04/09/2024 00:00:00","To IRK-INT S(504)","0.00",
"04/09/2024 00:00:00","To RND-NAT S(513)","0.60",
"04/09/2024 00:00:00","To SMA-NAT S(514)","0.00",
"04/09/2024 00:00:00","To CLK-NAT S(515)","0.14",
"04/09/2024 00:00:00","To NSK-NAT S(516)","0.00",
"04/09/2024 00:00:00","To KBK-NAT S(517)","0.07",
"04/09/2024 00:00:00","To SvyazInform(5201)","0.00",
"04/09/2024 00:00:00","SevZapTel-Kalini(5204)","0.00",
"04/09/2024 00:00:00","NKES_Narian_mar(5205)","0.00",
"04/09/2024 00:00:00","SZT_Murmansk_SPB(5207)","0.00",
"04/09/2024 00:00:00","SZT_Tosto+PTT(5210)","0.00",
"04/09/2024 00:00:00","WestCall-Spb-2(5213)","0.00",
"04/09/2024 00:00:00","SevZapTel_Arhang(5214)","0.00",
"04/09/2024 00:00:00","WestCall-Spb(5218)","0.00",
"04/09/2024 00:00:00","Teleport-Spb(5221)","4.17",
"04/09/2024 00:00:00","Megafon-Spb(5223)","0.00",
"04/09/2024 00:00:00","Megafon-Murmansk(5224)","0.00",
"04/09/2024 00:00:00","Megafon_Pskov_zon(5225)","0.00",
"04/09/2024 00:00:00","Megafon_Petr_Z(5226)","0.00",
"04/09/2024 00:00:00","Megafon_Kaliningrad(5227)","0.00",
"04/09/2024 00:00:00","Megafon_Arkhang(5228)","0.00",
"04/09/2024 00:00:00","Megafon-Vologda-Zona(5229)","0.00",
"04/09/2024 00:00:00","Megafon_Novgorod_zona(5230)","0.00",
"04/09/2024 00:00:00","GTS_Pskov(5231)","0.00",
"04/09/2024 00:00:00","Sovintel-Pskov(5234)","0.00",
"04/09/2024 00:00:00","Sovintel_Petroza(5236)","0.00",
"04/09/2024 00:00:00","Sovintel_Luban(5237)","0.00",
"04/09/2024 00:00:00","Sovintel_Arhang(5238)","0.00",
"04/09/2024 00:00:00","VimpelCom_Siktivkar(5240)","0.00",
"04/09/2024 00:00:00","Megafon_SPb_MSS127_OUT(5242)","0.00",
"04/09/2024 00:00:00","Megafon_SPb_MSS128_OUT(5243)","0.01",
"04/09/2024 00:00:00","Vimpelkom_SPB-SP(5244)","0.00",
"04/09/2024 00:00:00","Tele2-V.Novgorod(5247)","0.01",
"04/09/2024 00:00:00","Vimpelcom_Mur(5250)","0.00",
"04/09/2024 00:00:00","Vimpel_Pskov(5252)","0.00",
"04/09/2024 00:00:00","Vimpelkom_Petrozav(5253)","0.00",
"04/09/2024 00:00:00","Vimpel_VNovgorod_Z(5255)","0.00",
"04/09/2024 00:00:00","Tele2_Murmansk_OUT(5256)","0.00",
"04/09/2024 00:00:00","Parma-Siktivkar_out(5258)","0.00",
"04/09/2024 00:00:00","Severentelecom(5259)","0.00",
"04/09/2024 00:00:00","KVANTUM_SPB(5260)","0.00",
"04/09/2024 00:00:00","Tele2_Arhangelsk_OUT(5262)","0.00",
"04/09/2024 00:00:00","Sovintel_Vologda(5264)","0.00",
"04/09/2024 00:00:00","SZT_Siktivkar_SP(5265)","0.00",
"04/09/2024 00:00:00","SZT_Novgorod_SP(5266)","0.00",
"04/09/2024 00:00:00","SZT_Pskov_SPB(5268)","0.00",
"04/09/2024 00:00:00","Smarttel_SPB(5269)","0.00",
"04/09/2024 00:00:00","SZT_Vologda(5270)","0.01",
"04/09/2024 00:00:00","SZT_Petrozavodsk(5271)","0.00",
"04/09/2024 00:00:00","SZT_Sinopskaya(5272)","0.00",
